stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,train_samples,val_samples,test_samples,runtime_seconds,loss_mode,lambda_adv,lambda_pilot,lambda_smooth,lambda_sparse
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.1250,10,0.86699449,0.43349724,0.50985629,0.00469528,0.48373698,5,1024,256,512,1.7466,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.1250,20,0.87587477,0.43793739,0.50164165,0.00000000,0.34289575,0,1024,256,512,0.0292,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.1250,20,0.86919951,0.43459976,0.49983433,0.00030039,0.36645102,5,1024,256,512,0.3114,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.1250,20,0.87023503,0.43511751,0.50162208,0.00264127,0.37001450,5,1024,256,512,0.8632,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.1250,20,0.85425548,0.42712774,0.49475718,0.00042586,0.50010668,5,1024,256,512,1.1198,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.1250,20,0.85686345,0.42843172,0.49588824,0.00073966,0.47275632,5,1024,256,512,1.1166,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.1250,20,0.85513381,0.42756690,0.49507356,0.00073734,0.51134738,5,1024,256,512,1.6941,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.1250,30,0.87474082,0.43737041,0.49679637,0.00000000,0.34486549,0,1024,256,512,0.0260,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.1250,30,0.86988305,0.43494153,0.49576963,0.00018780,0.36013446,5,1024,256,512,0.3213,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.1250,30,0.86401809,0.43200905,0.49688330,0.00304270,0.39918523,5,1024,256,512,0.9038,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.1250,30,0.85346940,0.42673470,0.49057913,0.00039762,0.49406309,5,1024,256,512,1.1658,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.1250,30,0.85374714,0.42687357,0.49049806,0.00031060,0.50292826,5,1024,256,512,1.1644,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.1250,30,0.85547772,0.42773886,0.49129920,0.00035957,0.47280074,5,1024,256,512,1.8255,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.0625,10,0.94368947,0.47184473,0.54119308,0.00000000,0.21063309,0,1024,256,512,0.0289,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.0625,10,0.94263310,0.47131655,0.54086246,0.00020390,0.22266341,5,1024,256,512,0.3342,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.0625,10,0.94031090,0.47015545,0.54007792,0.00367691,0.24746660,5,1024,256,512,0.8861,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.0625,10,0.93485709,0.46742854,0.53815631,0.00528787,0.35990567,5,1024,256,512,1.2214,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.0625,10,0.93508875,0.46754438,0.53820036,0.00546146,0.36231838,5,1024,256,512,1.2459,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.0625,10,0.93561120,0.46780560,0.53839643,0.00557077,0.34754698,5,1024,256,512,1.8631,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.0625,20,0.93803037,0.46901518,0.53353553,0.00000000,0.21405690,0,1024,256,512,0.0266,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.0625,20,0.93708774,0.46854387,0.53330722,0.00019127,0.22503355,5,1024,256,512,0.3625,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.0625,20,0.93576735,0.46788367,0.53314470,0.00064921,0.24469959,5,1024,256,512,0.9005,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.0625,20,0.92861153,0.46430577,0.53062142,0.00066769,0.38421619,5,1024,256,512,1.1892,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.0625,20,0.92877629,0.46438814,0.53063793,0.00070470,0.39991727,5,1024,256,512,1.1870,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.0625,20,0.92895238,0.46447619,0.53074572,0.00073158,0.38128636,5,1024,256,512,1.7948,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.0625,30,0.93746446,0.46873223,0.53111399,0.00000000,0.21426922,0,1024,256,512,0.0252,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.0625,30,0.93704735,0.46852368,0.53116801,0.00016187,0.22394996,5,1024,256,512,0.3483,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.0625,30,0.93591283,0.46795641,0.53080139,0.00014324,0.23113556,5,1024,256,512,0.8897,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.0625,30,0.92847026,0.46423513,0.52861430,0.00033589,0.35848461,5,1024,256,512,1.1819,rec_only,0.0,0.0,0.0,0.0
