stage,seed,method,pilot_ratio,snr_db,epoch,train_loss,val_nmse,learning_rate
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,3,0.54383101,0.93715888,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,4,0.54318434,0.93605049,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,5,0.54306497,0.93610643,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,6,0.54372535,0.93561918,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,7,0.54594262,0.93537098,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,8,0.54807641,0.93530078,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,9,0.54896190,0.93529241,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,10,0.54929769,0.93525548,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,1,0.47035496,0.93946846,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,2,0.46940588,0.93844227,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,3,0.46906564,0.93801643,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,4,0.46889894,0.93769513,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,5,0.46870454,0.93717611,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,6,0.46837374,0.93631212,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,7,0.46785544,0.93498269,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,8,0.46717357,0.93343002,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,9,0.46652245,0.93201856,0.00010000
stage3a_larger_training,42,DnCNN,0.0625,20,10,0.46591849,0.93090615,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,1,0.46911792,0.93824823,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,2,0.46907092,0.93818633,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,3,0.46900853,0.93795957,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,4,0.46875945,0.93686286,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,5,0.46789535,0.93466440,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,6,0.46719907,0.93329534,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,7,0.46654234,0.93194336,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,8,0.46596671,0.93075146,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,9,0.46556737,0.93011814,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,10,0.46532072,0.92984831,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,1,0.53542254,0.93753469,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,2,0.53319631,0.93422967,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,3,0.53213607,0.93124609,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,4,0.53129807,0.92984362,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,5,0.53096029,0.92960265,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,6,0.53078038,0.92927195,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,7,0.53067295,0.92909724,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,8,0.53059449,0.92914434,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,9,0.53056705,0.92899783,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.0625,20,10,0.53050695,0.92898880,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,1,0.53921914,0.93741533,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,2,0.53718375,0.93434069,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,3,0.53614518,0.93209980,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,4,0.53541687,0.93071061,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,5,0.53506808,0.93020244,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,6,0.53487930,0.92982087,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,7,0.53477097,0.92994301,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,8,0.53471732,0.92962390,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,9,0.53463880,0.92955031,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,10,0.53456801,0.92941654,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,1,0.53836866,0.93592854,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,2,0.53650662,0.93230824,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,3,0.53618744,0.93037286,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,4,0.53570294,0.92999758,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,5,0.53590808,0.92965439,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,6,0.53759915,0.92964555,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,7,0.54028225,0.92967594,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,8,0.54167068,0.92961550,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,9,0.54209967,0.92937240,0.00010000
stage3a_larger_training,42,PICASSO-full,0.0625,20,10,0.54227268,0.92927791,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,1,0.53868807,0.93722101,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,2,0.53713975,0.93490799,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,3,0.53698851,0.93254538,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,4,0.53621374,0.93076709,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,5,0.53591460,0.93013123,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,6,0.53640773,0.92999186,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,7,0.53845456,0.92960832,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,8,0.54053856,0.92952593,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,9,0.54145929,0.92950623,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,10,0.54178820,0.92942834,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,1,0.44435810,0.88677000,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,2,0.44373211,0.88600473,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,3,0.44334927,0.88502865,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,4,0.44277284,0.88336495,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,5,0.44183820,0.88068911,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,6,0.44044342,0.87696224,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,7,0.43872353,0.87319726,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,8,0.43735593,0.87029065,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,9,0.43642108,0.86876972,0.00010000
stage3a_larger_training,123,DnCNN,0.1250,10,10,0.43582897,0.86749041,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,1,0.44392031,0.88665271,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,2,0.44379515,0.88637283,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,3,0.44353408,0.88521954,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,4,0.44222896,0.87968069,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,5,0.43953420,0.87469245,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,6,0.43790032,0.87139517,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,7,0.43671123,0.86829455,0.00010000
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,8,0.43576954,0.86646838,0.00010000
