ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,30,60,CDL-A,irregular,0.49746650,0.24873325,0.31114174,0.49746650,0.4537,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,30,120,CDL-A,irregular,0.50074300,0.25037150,0.29907426,0.18241915,0.0140,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,30,120,CDL-A,irregular,1.12509209,0.56254604,0.43761065,0.40983536,1.5588,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,30,120,CDL-A,irregular,0.50023635,0.25011817,0.29926068,0.18223440,0.2383,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,30,120,CDL-A,irregular,0.48653264,0.24326632,0.30837701,0.17723776,0.4477,stage4,reused
channel,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,30,120,CDL-A,irregular,0.49218051,0.24609026,0.30993066,0.17929853,0.4582,stage4,reused
channel,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,CDL-A,0.2500,0,0,CDL-A,block,0.99918035,0.49959017,0.57521190,0.99918035,0.0262,stage4,reused
channel,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,CDL-A,0.2500,0,0,CDL-A,block,2.47199088,1.23599544,0.87352656,2.47199088,1.5960,stage4,reused
channel,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,CDL-A,0.2500,0,0,CDL-A,block,0.99783370,0.49891685,0.57483807,0.99783370,0.2604,stage4,reused
channel,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,CDL-A,0.2500,0,0,CDL-A,block,0.89667949,0.44833975,0.54217215,0.89667949,0.4485,stage4,reused
